,filename,channel,label,freq_range,freq_res,max_peaks,aperiodic_mode,peak_width_limits,min_peak_height,peak_threshold,measure,offset,knee,exponent,error,r_squared
32,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,1,banksstsL,3.0-40.0 Hz,0.5,5,knee,1.0-8.0,0.0,2.0,aperiodic,-1.104679200445562,0.5468132149452094,1.0274176317752386,0.015311925048239776,0.9956646411471961
33,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,1,banksstsL,3.0-40.0 Hz,0.5,5,knee,1.0-8.0,0.0,2.0,aperiodic,-0.7246157787018419,4.387630884893932,1.276445293244046,0.024758024465748638,0.9891350145678736
34,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,1,banksstsL,3.0-40.0 Hz,0.5,5,knee,1.0-8.0,0.0,2.0,aperiodic,-1.6341809639914824,-1.1726022123473911,0.6333324081511582,0.01736304934351514,0.9916399179141764
35,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,1,banksstsL,3.0-40.0 Hz,0.5,5,knee,1.0-8.0,0.0,2.0,aperiodic,-1.3681357928377997,-0.8420505296047397,0.7957016532692127,0.01447621786807131,0.9944839057215764
36,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,1,banksstsL,3.0-40.0 Hz,0.5,5,knee,1.0-8.0,0.0,2.0,aperiodic,-2.3083435770571454,-1.2017512743431311,0.3715640132217904,0.01660582750147413,0.9904367918654123
37,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,1,banksstsL,3.0-40.0 Hz,0.5,5,knee,1.0-8.0,0.0,2.0,aperiodic,-2.4194780116859995,-1.1358820338799736,0.3136199196506189,0.01403999008628056,0.9923293525355178
38,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,1,banksstsL,3.0-40.0 Hz,0.5,5,knee,1.0-8.0,0.0,2.0,aperiodic,-2.191599940234433,-1.2255652436446347,0.40247425467383824,0.014096434647705358,0.9933723204338452
39,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,1,banksstsL,3.0-40.0 Hz,0.5,5,knee,1.0-8.0,0.0,2.0,aperiodic,-2.0847085585341953,-1.1112313087598573,0.5009910844111192,0.015881894850754457,0.9917050790378457
40,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,1,banksstsL,3.0-40.0 Hz,0.5,5,knee,1.0-8.0,0.0,2.0,aperiodic,-2.3398537904346655,-1.2043750718313797,0.37013287530537453,0.01680577233216665,0.9901859702894257
41,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,1,banksstsL,3.0-40.0 Hz,0.5,5,knee,1.0-8.0,0.0,2.0,aperiodic,-1.9003856505826695,-1.1458810733182998,0.5849309790700261,0.016260081228480383,0.993051062957168
42,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,1,banksstsL,3.0-40.0 Hz,0.5,5,knee,1.0-8.0,0.0,2.0,aperiodic,-2.0682301504009675,-1.1827361074270513,0.42628099531858143,0.010990295464509827,0.9960887223562437
43,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,1,banksstsL,3.0-40.0 Hz,0.5,5,knee,1.0-8.0,0.0,2.0,aperiodic,-1.7159469877918287,-0.9941401905686172,0.6367533663906048,0.012747146151318466,0.9956122268040895
44,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,1,banksstsL,3.0-40.0 Hz,0.5,5,knee,1.0-8.0,0.0,2.0,aperiodic,-1.5309213204818621,-0.683479442893541,0.8573101396304331,0.016414176487479216,0.9941559596725142
45,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,1,banksstsL,3.0-40.0 Hz,0.5,5,knee,1.0-8.0,0.0,2.0,aperiodic,-1.2441609403028357,0.6668868085219666,0.9642194059669281,0.017172883228535454,0.993265379959007
46,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,1,banksstsL,3.0-40.0 Hz,0.5,5,knee,1.0-8.0,0.0,2.0,aperiodic,-1.7743081325433618,-1.2672657666616598,0.6335315122941235,0.016106972750956516,0.9938409415284197
47,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,1,banksstsL,3.0-40.0 Hz,0.5,5,knee,1.0-8.0,0.0,2.0,aperiodic,-1.6586427484034367,-1.1666038018170273,0.6997207267078798,0.0157629267443342,0.9936081829675517
48,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,1,banksstsL,3.0-40.0 Hz,0.5,5,knee,1.0-8.0,0.0,2.0,aperiodic,-1.6756291553709415,-0.9641810592515282,0.7923161639065124,0.01712756476840465,0.9941508056747491
49,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,1,banksstsL,3.0-40.0 Hz,0.5,5,knee,1.0-8.0,0.0,2.0,aperiodic,-1.4537588508055057,-0.04134870707365056,0.8800607871256424,0.017631696982009712,0.9922987181630487
50,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,1,banksstsL,3.0-40.0 Hz,0.5,5,knee,1.0-8.0,0.0,2.0,aperiodic,-2.083066791929705,-1.0987220147995604,0.5733865774700048,0.014095344000517122,0.9938909778684025
51,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,1,banksstsL,3.0-40.0 Hz,0.5,5,knee,1.0-8.0,0.0,2.0,aperiodic,-1.639107219173891,-0.20103590245996475,0.8130448986276543,0.015250926437030042,0.9925885776481932
52,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,1,banksstsL,3.0-40.0 Hz,0.5,5,knee,1.0-8.0,0.0,2.0,aperiodic,-1.785235723872671,-1.0552571762043135,0.6199179931848314,0.02001324770559419,0.9903732458718189
53,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,1,banksstsL,3.0-40.0 Hz,0.5,5,knee,1.0-8.0,0.0,2.0,aperiodic,-1.8327118766041044,-1.0066755956174354,0.6741790035207313,0.01725492384653304,0.9925962968411327
54,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,1,banksstsL,3.0-40.0 Hz,0.5,5,knee,1.0-8.0,0.0,2.0,aperiodic,-2.100967244925129,-0.9972020514439944,0.5535076324451711,0.014977915140373721,0.9931262038197369
55,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,1,banksstsL,3.0-40.0 Hz,0.5,5,knee,1.0-8.0,0.0,2.0,aperiodic,-2.261969248774808,-1.126934900609707,0.47681010634281684,0.0152952007419571,0.9927476071685765
56,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,1,banksstsL,3.0-40.0 Hz,0.5,5,knee,1.0-8.0,0.0,2.0,aperiodic,-2.007344861769177,-1.1543818032173256,0.6395441049540177,0.014111690125562857,0.9952576264389659
57,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,1,banksstsL,3.0-40.0 Hz,0.5,5,knee,1.0-8.0,0.0,2.0,aperiodic,-1.9060960398821596,-1.0143398775564405,0.6819968653593595,0.022310026544043134,0.9903974681771572
58,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,1,banksstsL,3.0-40.0 Hz,0.5,5,knee,1.0-8.0,0.0,2.0,aperiodic,-1.7389421800869185,-0.46045800445254603,0.8019104936273345,0.016838360430311592,0.9927628472766845
59,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,1,banksstsL,3.0-40.0 Hz,0.5,5,knee,1.0-8.0,0.0,2.0,aperiodic,-1.1988794420249669,6.4077892697721595,1.1236684327218938,0.018646770806777267,0.9907795358673676
60,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,1,banksstsL,3.0-40.0 Hz,0.5,5,knee,1.0-8.0,0.0,2.0,aperiodic,-5.99252252337007,-1.000112309715564,0.00014995928598756085,0.017627408034438272,0.9855592978954453
61,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,1,banksstsL,3.0-40.0 Hz,0.5,5,knee,1.0-8.0,0.0,2.0,aperiodic,-1.4114205295996913,-0.7510931889513173,0.8258408486474074,0.0150941853784301,0.9939659329746422
62,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,1,banksstsL,3.0-40.0 Hz,0.5,5,knee,1.0-8.0,0.0,2.0,aperiodic,-2.109402033857306,-1.1445531076464641,0.6247265919726317,0.015375556468865343,0.9930935735991359
63,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,1,banksstsL,3.0-40.0 Hz,0.5,5,knee,1.0-8.0,0.0,2.0,aperiodic,-1.493854147541255,-0.06210739907326647,0.865649985345682,0.017515799627786887,0.9927077059924827
64,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,1,banksstsL,3.0-40.0 Hz,0.5,5,knee,1.0-8.0,0.0,2.0,aperiodic,-1.9455702515899218,-1.285688533276532,0.4983297205240601,0.01862909254528182,0.992331633904099
65,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,1,banksstsL,3.0-40.0 Hz,0.5,5,knee,1.0-8.0,0.0,2.0,aperiodic,-1.306732852699206,-0.8922596270036254,0.8444340325559749,0.015014945302445942,0.9954906029901858
66,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,1,banksstsL,3.0-40.0 Hz,0.5,5,knee,1.0-8.0,0.0,2.0,aperiodic,-1.6156727287327304,-1.0875241179328878,0.7112261876117378,0.017627311393619068,0.992455125227107
67,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,1,banksstsL,3.0-40.0 Hz,0.5,5,knee,1.0-8.0,0.0,2.0,aperiodic,-1.45013126813271,-0.8284853511348648,0.6977854660074705,0.01689539354599849,0.9925692796378308
