Peak Frequency,Lower Frequency Bound,Upper Frequency Bound,Frequency Span,Peak Time,Event Onset Time,Event Offset Time,Event Duration,Peak Power,Normalized Peak Power,Filename,Channel_Number
11,8,15,7,2.452,2.346,2.544,0.198,5.172564147214966e-14,5.426360999107678,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,0
8,5,10,5,0.174,0.032,0.312,0.28,8.606789537359593e-14,9.895397061864024,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,0
10,5,12,7,2.598,2.49,2.72,0.23,4.691988763678249e-14,5.389060243828206,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,0
10,8,12,4,3.138,3.0,3.25,0.28,3.505674557936656e-14,4.026499708231608,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,0
11,8,15,7,0.438,0.352,0.8,0.448,4.5196943911422545e-14,4.741457558372702,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,0
8,6,9,3,0.758,0.578,0.978,0.4,5.370876447104263e-14,6.175003441598589,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,0
10,8,14,6,3.078,2.92,3.206,0.286,8.371343452092033e-14,9.61504309949247,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,0
8,6,10,4,1.652,1.5,2.01,0.51,5.715278034558307e-14,6.57096879450991,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,0
10,8,13,5,0.188,0.076,0.298,0.222,3.6846479818466797e-14,4.232062554196143,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,0
10,8,17,9,1.03,0.904,1.152,0.248,1.0301142937911023e-13,11.831545783406483,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,0
8,6,10,4,0.398,0.246,0.532,0.286,9.590918255100755e-14,11.026869416307056,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,0
10,8,12,4,0.78,0.448,0.908,0.46,6.567449405387785e-14,7.543151161807752,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,0
8,6,15,9,0.844,0.686,0.994,0.308,9.466592593763532e-14,10.883929731472138,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,0
