Peak Frequency,Lower Frequency Bound,Upper Frequency Bound,Frequency Span,Peak Time,Event Onset Time,Event Offset Time,Event Duration,Peak Power,Normalized Peak Power,Filename,Channel_Number
8,6,12,6,0.926,0.798,1.276,0.478,3.568324417689707e-14,4.521684994168398,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,11
8,5,28,23,2.274,2.124,2.41,0.286,3.3714765133236293e-14,4.272244609518095,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,11
9,6,31,25,2.246,2.118,2.354,0.236,3.446558733165198e-14,4.354842333916658,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,11
10,6,22,16,0.886,0.776,0.992,0.216,3.6011275452775066e-14,4.654473185825256,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,11
12,6,15,9,2.224,2.126,2.304,0.178,3.514169393402677e-14,4.616733701254847,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,11
8,2,10,8,2.866,2.688,3.01,0.322,3.868636897711279e-14,4.902232914010904,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,11
9,7,12,5,2.746,2.598,2.9,0.302,3.439573292288918e-14,4.346015995529801,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,11
8,7,10,3,1.264,1.01,1.48,0.47,4.6753298061654076e-14,5.924452530864217,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,11
9,6,11,5,0.162,0.032,0.288,0.256,4.009116521332859e-14,5.065652931053123,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,11
9,7,13,6,1.414,1.102,1.522,0.42,3.6449773639250054e-14,4.605550916003419,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,11
11,8,13,5,1.492,1.384,1.632,0.248,4.841121840010291e-14,6.509810869109388,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,11
12,9,15,6,3.158,3.07,3.25,0.18,3.5667489273571533e-14,4.685809969137557,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,11
9,7,11,4,0.37,0.182,0.504,0.322,5.330900631570686e-14,6.735771401448606,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,11
9,7,12,5,1.994,1.808,2.132,0.324,8.764262239875019e-14,11.073938726325943,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,11
10,7,12,5,0.438,0.312,0.58,0.268,4.909096098619365e-14,6.345028291938053,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,11
10,8,14,6,1.532,1.398,1.668,0.27,3.105485729499687e-14,4.013853959678456,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,11
12,9,45,36,0.586,0.486,0.696,0.21,3.091027974212132e-14,4.0608324251122525,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,11
9,7,11,4,1.972,1.822,2.104,0.282,9.588098533216233e-14,12.11488346112363,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,11
10,8,13,5,2.53,2.394,2.658,0.264,5.5849457902918056e-14,7.218566990022469,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,11
11,7,16,9,3.204,3.112,3.25,0.188,3.139081647660123e-14,4.2210934788033,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,11
12,7,16,9,2.04,1.968,2.128,0.16,7.886542020827268e-14,10.360930353064413,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,11
9,8,11,3,1.716,1.508,1.944,0.436,5.292885394942106e-14,6.687737877397221,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,11
9,7,10,3,3.03,2.864,3.206,0.342,4.7012209212039204e-14,5.94015000868758,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,11
11,8,13,5,2.902,2.81,3.09,0.28,3.984764352714078e-14,5.358275034466514,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,11
12,8,15,7,2.854,2.766,3.176,0.41,3.5086984899733506e-14,4.609546311743715,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,11
9,5,11,6,2.378,2.238,2.494,0.256,3.841733568222917e-14,4.854158966605362,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,11
11,8,20,12,0.33,0.236,0.43,0.194,6.350578580062535e-14,8.539563107863541,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,11
10,8,12,4,2.614,2.288,2.744,0.456,5.107227961391642e-14,6.601114595723804,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,11
11,3,15,12,0.138,0.05,0.236,0.186,7.178882257446778e-14,9.653375248965894,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,11
10,8,13,5,1.28,1.17,1.42,0.25,3.931342001421546e-14,5.08127682228903,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,11
12,10,16,6,2.878,2.776,2.99,0.214,4.070017401445004e-14,5.346978019107607,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,11
11,9,14,5,0.852,0.718,0.96,0.242,3.568191744618203e-14,4.798113778134654,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,11
12,10,16,6,0.896,0.756,1.126,0.37,3.8438821049832396e-14,5.049893181314003,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,11
8,5,10,5,1.278,1.06,1.434,0.374,5.198857671752739e-14,6.587853000317019,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,11
9,7,12,5,2.704,2.574,2.85,0.276,4.002231937110051e-14,5.056954028424133,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,11
10,8,13,5,2.746,2.628,2.864,0.236,4.121225309004148e-14,5.326701832224612,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,11
11,9,18,9,0.746,0.644,0.882,0.238,5.061717844409892e-14,6.806444235213549,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,11
12,9,17,8,0.722,0.642,0.822,0.18,4.9524265888644365e-14,6.506241497272386,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,11
9,7,12,5,1.718,1.57,1.846,0.276,4.5269275816717834e-14,5.719924539668167,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,11
9,7,15,8,0.88,0.61,1.034,0.424,4.087670495404989e-14,5.1649085069105345,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,11
11,9,13,4,2.744,2.472,2.87,0.398,7.806181786981756e-14,10.496899008645805,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,11
8,6,16,10,0.918,0.772,1.046,0.274,4.210333954420059e-14,5.335222259433687,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,11
9,6,16,10,0.938,0.816,1.064,0.248,4.236384065838036e-14,5.3528130813829895,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,11
10,7,13,6,3.106,2.996,3.216,0.22,7.325190808120604e-14,9.467841327131778,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,11
11,9,14,5,1.54,1.412,1.802,0.39,3.486007883829663e-14,4.687601915821047,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,11
9,6,16,10,2.912,2.794,3.036,0.242,4.210857232607848e-14,5.3205590730784325,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,11
10,8,13,5,1.814,1.628,2.026,0.398,6.532358540620736e-14,8.44310213543764,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,11
11,9,13,4,1.032,0.7,1.172,0.472,4.3797187114159484e-14,5.889366434775931,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,11
12,10,18,8,2.144,2.068,2.426,0.358,3.2300591532678193e-14,4.24348438579366,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,11
9,7,15,8,2.946,2.818,3.138,0.32,5.212694464912e-14,6.586413952889327,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,11
10,7,15,8,1.402,1.304,1.504,0.2,4.608830702802172e-13,59.569339476277264,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,11
12,10,16,6,2.44,2.32,2.562,0.242,7.213133016536373e-14,9.476240488462317,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,11
12,8,22,14,2.894,2.812,2.978,0.166,6.125217079822175e-14,8.046992889132051,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,11
8,7,10,3,2.446,2.274,2.62,0.346,3.755840961476153e-14,4.7593009289735795,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,11
9,7,11,4,0.662,0.498,0.852,0.354,8.702809969873119e-14,10.996291726045817,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,11
9,7,11,4,1.176,0.416,1.348,0.932,3.176725115149618e-14,4.013898524794628,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,11
9,7,12,5,2.532,2.35,2.666,0.316,4.153650807149391e-14,5.248276839509836,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,11
10,8,14,6,0.588,0.472,0.712,0.24,8.865083165037865e-14,11.458158969095864,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,11
12,10,15,5,2.008,1.906,2.136,0.23,8.601117155810633e-14,11.29970214760278,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,11
9,4,12,8,0.38,0.252,0.484,0.232,8.735484020432111e-14,11.03757648270051,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,11
11,8,13,5,0.744,0.636,0.866,0.23,8.729597358956467e-14,11.73860721715746,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,11
11,9,14,5,0.704,0.608,0.798,0.19,3.869426625002713e-14,5.203181480061731,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,11
12,9,14,5,0.716,0.606,0.81,0.204,3.863775884721927e-14,5.076028598558647,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,11
8,5,10,5,1.378,1.27,1.498,0.228,5.195502324689723e-14,6.583601194514315,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,11
8,5,13,8,2.67,2.536,2.816,0.28,1.1693217832434884e-13,14.817332007243758,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,11
10,5,14,9,2.622,2.526,2.714,0.188,1.2618065515988197e-13,16.30890515893337,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,11
10,9,12,3,3.146,2.898,3.25,0.5,3.999239300116663e-14,5.169034379385508,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,11
11,9,14,5,1.79,1.662,1.896,0.234,6.932888783413932e-14,9.322590145035191,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,11
11,9,13,4,3.018,2.87,3.25,0.3,4.3452253622386445e-14,5.84298355353328,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,11
12,8,15,7,0.508,0.414,0.588,0.174,6.475799760341042e-14,8.507570253235867,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,11
8,5,10,5,1.258,0.968,1.408,0.44,4.093772109359346e-14,5.187518215740023,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,11
8,6,12,6,2.992,2.84,3.132,0.292,4.2778340924333974e-14,5.420756623867069,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,11
9,7,11,4,1.124,0.942,1.304,0.362,4.955447787942599e-14,6.261374165130679,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,11
9,6,12,6,3.014,2.906,3.14,0.234,4.354746133625595e-14,5.502367516237435,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,11
11,8,13,5,2.078,1.948,2.198,0.25,3.0997160877420577e-14,4.16815898173998,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,11
8,6,10,4,1.454,1.302,1.636,0.334,4.499879029268087e-14,5.7021260122385815,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,11
10,6,13,7,0.044,0.0,0.14,0.196,4.723927784308149e-14,6.105697431536773,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,11
10,7,13,6,2.09,1.984,2.188,0.204,4.2375030638536035e-14,5.476991341621327,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,11
11,7,13,6,2.128,2.02,2.42,0.4,4.331449903368382e-14,5.824459823942452,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,11
12,10,14,4,1.572,1.424,1.728,0.304,5.688107036087489e-14,7.472740357693062,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,11
8,6,11,5,1.426,1.264,1.786,0.522,4.1093864023808614e-14,5.207304229057626,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,11
9,7,13,6,0.866,0.67,1.008,0.338,4.152005802984265e-14,5.246198321680203,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,11
10,7,13,6,0.894,0.784,1.026,0.242,4.2062207769722054e-14,5.436558848284149,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,11
11,9,19,10,0.062,0.0,0.254,0.388,7.44701328876641e-14,10.013928517343528,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,11
11,7,14,7,2.704,2.602,2.806,0.204,9.139085430382456e-14,12.289241963861931,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,11
9,8,11,3,1.316,1.114,1.586,0.472,6.73911094926189e-14,8.51509227810402,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,11
9,7,12,5,3.052,2.94,3.194,0.254,3.2221488347059946e-14,4.071292915026418,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,11
10,8,12,4,0.802,0.684,0.96,0.276,3.389462226902271e-14,4.380894831168346,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,11
8,6,11,5,2.736,2.606,2.866,0.26,5.015327925990846e-14,6.35528902903652,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,11
10,5,14,9,0.07,0.0,0.172,0.208,1.6307377635453078e-13,21.077357294628598,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,11
8,6,10,4,2.706,2.586,2.842,0.256,3.6784121926901805e-14,4.661185269926205,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,11
9,7,11,4,0.906,0.756,1.102,0.346,4.827638639478959e-14,6.099883027598214,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,11
9,4,13,9,0.054,0.0,0.7,1.296,3.5897177442342274e-14,4.535728536692177,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,11
11,9,13,4,3.058,2.904,3.214,0.31,3.280812183453006e-14,4.411677193256405,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,11
9,5,11,6,1.204,1.096,1.326,0.23,3.6201969701686555e-14,4.574240058961336,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,11
9,7,12,5,2.012,1.862,2.188,0.326,5.803084407933778e-14,7.332391409373498,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,11
10,8,12,4,1.282,1.14,1.488,0.348,3.6002656238196846e-14,4.6533591485512975,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,11
11,9,13,4,1.408,1.22,1.562,0.342,3.389617865691657e-14,4.557987167734661,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,11
10,8,13,5,2.092,1.962,2.21,0.248,5.722476180145845e-14,7.396325623606882,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,11
12,10,15,5,1.358,1.25,1.476,0.226,4.615705305723809e-14,6.063874518969192,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,11
12,10,15,5,2.996,2.896,3.1,0.204,3.893696306811922e-14,5.115336499104926,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,11
8,4,16,12,2.394,2.256,2.51,0.254,3.2193049962985485e-14,4.079416944617145,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,11
11,9,13,4,0.572,0.408,0.764,0.356,3.385294431973829e-14,4.552173487199792,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,11
11,8,13,5,2.764,2.62,2.89,0.27,8.517375551195726e-14,11.453234554274848,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,11
8,6,11,5,0.312,0.168,0.516,0.348,4.5953609639608115e-14,5.823118158909423,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,11
9,6,11,5,0.254,0.122,0.374,0.252,4.296502776385181e-14,5.4287750846507405,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,11
9,8,11,3,1.186,0.954,1.354,0.4,3.174726062629911e-14,4.01137265501711,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,11
9,6,11,5,1.828,1.708,1.952,0.244,7.690935556029286e-14,9.717754531361946,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,11
8,5,10,5,2.316,2.188,2.456,0.268,6.124445252412504e-14,7.760732756852044,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,11
10,8,12,4,1.962,1.834,2.094,0.26,3.668997011400046e-14,4.742194769199302,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,11
8,6,10,4,1.556,1.392,1.746,0.354,6.98709263571811e-14,8.853856383452406,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,11
9,7,12,5,3.128,3.012,3.25,0.236,3.642705109645477e-14,4.602679846656858,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,11
11,9,14,5,1.282,1.138,1.4,0.262,6.865839662170647e-14,9.232429824213181,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,11
12,9,18,9,0.782,0.674,0.86,0.186,4.2422963104676535e-14,5.573309125056416,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,11
11,9,14,5,0.354,0.228,0.474,0.246,3.533672241535849e-14,4.751695727982608,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,11
12,9,15,6,0.372,0.248,0.472,0.224,3.5207752427968366e-14,4.625412123979911,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,11
9,7,11,4,0.51,0.256,0.706,0.45,5.368731153475569e-14,6.783571532263219,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,11
12,7,22,15,2.57,2.488,2.656,0.168,1.1210803376664752e-13,14.72817271254946,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,11
9,5,12,7,0.106,0.0,0.218,0.228,9.518168759107754e-14,12.02652485061791,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,11
11,6,21,15,0.56,0.434,0.656,0.222,5.699485901816899e-14,7.66404492556719,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,11
9,6,11,5,2.208,2.09,2.32,0.23,8.424364589345905e-14,10.644466666709066,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,11
10,7,13,6,0.114,0.012,0.218,0.206,4.155551816720292e-14,5.371068994375627,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,11
11,7,13,6,0.13,0.026,0.234,0.208,4.118527076515378e-14,5.538144507299598,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,11
8,6,9,3,0.338,0.182,0.478,0.296,3.749043052650088e-14,4.75068680123952,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,11
9,3,10,7,0.75,0.476,0.896,0.42,4.145591852252644e-14,5.238094080221922,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,11
11,8,13,5,1.814,1.49,1.928,0.438,4.0240831671030944e-14,5.4111466732579006,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,11
11,8,14,6,3.032,2.532,3.14,0.608,4.0168111426736724e-14,5.401368050608944,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,11
12,9,15,6,0.616,0.506,0.71,0.204,5.763271070584589e-14,7.571486972422706,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,11
12,10,14,4,1.582,1.474,1.922,0.448,3.2573789182580525e-14,4.279375677766539,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,11
12,10,15,5,2.714,2.558,2.886,0.328,4.097130314118615e-14,5.382597559222671,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,11
10,7,12,5,0.304,0.18,0.442,0.262,3.695565357511968e-14,4.776534473365525,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,11
10,8,12,4,0.832,0.704,0.958,0.254,5.909321674278055e-14,7.637824246301077,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,11
11,9,14,5,1.252,1.1,1.416,0.316,5.3243353048580394e-14,7.159583456853056,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,11
11,3,14,11,3.13,3.042,3.224,0.182,3.775995254895594e-14,5.077545198071808,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,11
8,6,10,4,0.648,0.504,0.938,0.434,4.6214586288100554e-14,5.8561884198270295,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,11
8,6,14,8,1.794,1.652,2.344,0.692,5.936291137159447e-14,7.522308908585018,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,11
8,6,10,4,2.144,1.636,2.386,0.75,4.859812987292288e-14,6.158224669866631,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,11
10,8,12,4,1.15,0.988,1.288,0.3,3.5326417198194986e-14,4.565954955300088,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,11
11,6,14,8,1.808,1.73,1.892,0.162,4.5826747652312936e-14,6.162279525737483,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,11
12,6,14,8,1.818,1.722,1.906,0.184,4.597279712039737e-14,6.039667928505288,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,11
9,5,11,6,1.574,1.474,1.708,0.234,8.761338350325103e-14,11.070244294001567,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,11
10,5,15,10,1.52,1.39,1.632,0.242,8.373767484480163e-14,10.823131291742358,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,11
10,8,13,5,3.036,2.918,3.146,0.228,3.6858621298978285e-14,4.763993009010785,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,11
11,5,14,9,1.48,1.308,1.574,0.266,8.629680891707697e-14,11.6042504862189,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,11
11,9,13,4,2.77,2.654,3.11,0.456,4.5364852656574964e-14,6.10016894139334,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,11
11,9,13,4,2.986,2.636,3.13,0.494,3.585895016135352e-14,4.821919200338381,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,11
12,9,19,10,1.314,1.172,1.592,0.42,4.742389890059587e-14,6.230306163109754,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,11
8,3,11,8,1.568,1.432,1.994,0.562,3.738201961859279e-14,4.736949261764072,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,11
9,7,11,4,0.582,0.444,0.692,0.248,1.2580853105560845e-13,15.896329046616364,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,11
9,7,11,4,1.614,1.478,1.83,0.352,3.6377804538802244e-14,4.5964573792431676,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,11
9,6,14,8,1.5,1.384,1.624,0.24,6.001087052628315e-14,7.582574379141533,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,11
12,6,15,9,1.508,1.422,1.598,0.176,5.6425172132602164e-14,7.412846810194742,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,11
10,8,13,5,2.626,2.518,2.766,0.248,3.527733265782945e-14,4.559610756876194,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,11
11,8,14,6,2.58,2.48,2.71,0.23,3.882172891628437e-14,5.220321264550304,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,11
12,10,15,5,0.136,0.02,0.236,0.216,3.465437862016472e-14,4.5527127398046625,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,11
8,6,9,3,2.456,2.266,2.614,0.348,3.4757214399726895e-14,4.404340984559135,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,11
10,8,12,4,1.824,1.668,1.996,0.328,7.679531000468092e-14,9.925827583715327,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,11
12,5,15,10,0.258,0.064,0.364,0.3,4.25565786331653e-14,5.590862841008275,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,11
9,7,12,5,0.124,0.0,0.264,0.284,7.038301937968945e-14,8.893130107841309,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,11
10,7,12,5,2.81,2.682,2.942,0.26,3.815637126464033e-14,4.931727762671508,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,11
8,6,11,5,2.33,2.066,2.5,0.434,5.246481290649726e-14,6.648200372844856,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,11
8,6,10,4,2.734,1.962,3.248,1.286,3.288042637423796e-14,4.166519439802209,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,11
8,6,11,5,1.79,1.636,1.928,0.292,8.203076751539774e-14,10.394718840464593,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,11
8,6,10,4,2.46,2.246,3.05,0.804,4.0969455958877133e-14,5.191539572750999,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,11
8,6,10,4,2.92,2.244,3.052,0.808,4.026967611242991e-14,5.10286534752597,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,11
9,7,11,4,0.558,0.34,0.73,0.39,3.289266410942848e-14,4.1560982193821925,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,11
9,6,11,5,2.994,2.854,3.142,0.288,3.772525901167365e-14,4.766712762533759,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,11
10,8,12,4,0.458,0.286,0.67,0.384,3.115314715752675e-14,4.0265579676268475,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,11
10,8,12,4,3.066,2.95,3.192,0.242,3.410801282990003e-14,4.408475654985991,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,11
8,6,10,4,0.292,0.132,0.426,0.294,4.324829468831762e-14,5.480307904351079,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,11
8,3,11,8,1.632,1.504,1.774,0.27,4.3110219045752743e-14,5.4628113292652865,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,11
9,7,12,5,1.692,1.576,1.82,0.244,4.8479375922216154e-14,6.125531433901945,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,11
10,8,17,9,1.114,0.978,1.284,0.306,3.99864175302177e-14,5.168262047138044,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,11
10,7,13,6,1.732,1.618,1.84,0.222,4.8341318375109534e-14,6.248136654850144,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,11
10,7,13,6,2.73,2.622,2.85,0.228,7.381708277072675e-14,9.540890404250167,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,11
8,1,12,11,1.212,1.072,1.386,0.314,6.709680142039519e-14,8.502326712091005,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,11
9,7,11,4,0.678,0.448,0.84,0.392,9.358724729661326e-14,11.825061981976793,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,11
10,8,14,6,2.218,2.086,2.326,0.24,5.834857810443441e-14,7.541579374889712,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,11
8,6,11,5,0.978,0.752,1.102,0.35,4.631503926172088e-14,5.868917551213931,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,11
